ID,Title,Category,Full Prompt,Current Narrative (2025),Use Case
AMP-001,Digital Dopamine Dealer,Social Media Critique,"A smartphone with tentacles wrapped around a human brain, underground comix style, psychedelic neon colors (electric pink, acid green, cyber blue), 2D comic book illustration, mischievous and rebellious mood, satirizing social media addiction, chaotic composition with notification bubbles exploding like fireworks, Ben-Day dots pattern, inverted reality where the phone controls the human, fluid melting forms, bold black linework, truth-revealing commentary on November 2025 digital dependence",social media addiction and algorithm manipulation (2025),"social commentary art, editorial illustration, protest poster"
AMP-002,Burning Paradise Inversion,Climate Crisis,"Earth as a melting ice cream cone held by corporate hands, underground comix psychedelic style, vibrant apocalyptic colors (toxic orange, radiation green, chemical purple), 2D comic book aesthetic, criminally optimistic yet truth-revealing, commenting on November 2025 climate crisis, chaotic swirling composition with dollar signs morphing into flames, inverted color scheme, fluid dripping reality, hallucinatory patterns, bold satirical linework, mischievous corporate mascots dancing in background",climate change denial vs reality (2025),"activist art, environmental campaign, gallery exhibition"
AMP-003,Silicon Hallucination,AI & Technology,"A human face merging with circuit boards and code, underground comix psychedelic art, electric neon palette (digital blue, algorithm pink, data green), 2D rebellious comic book style, mischievous and truth-revealing, addressing November 2025 AI anxiety and job displacement fears, chaotic fragmented composition, inverted human-machine relationship, fluid morphing between organic and digital, phosphenes and fractals, bold linework with glitch effects, criminally optimistic about technological dystopia",AI replacing human creativity and jobs (2025),"tech critique poster, digital art exhibition, editorial work"
AMP-004,Democracy's Funhouse Mirror,Political Satire,"Politicians as carnival barkers in a psychedelic circus tent, underground comix style, grotesque vibrant colors (garish red, corrupt gold, deception purple), 2D chaotic comic book illustration, rebellious and mischievous tone, satirizing November 2025 political theater and government shutdowns, warped funhouse mirror reality, inverted truth where lies become truth, fluid melting podiums and flags, Ben-Day dots, exaggerated caricature features, bold satirical linework, truth-revealing chaos",political dysfunction and polarization (2025),"political protest art, underground publication, gallery show"
AMP-005,All-Seeing Algorithm,Privacy & Surveillance,"Giant eyeballs made of camera lenses watching people reduced to data points, underground comix psychedelic aesthetic, paranoid color palette (surveillance green, privacy-invasion blue, exposure red), 2D rebellious comic book style, mischievous yet truth-revealing, commenting on 2025 digital surveillance and privacy erosion, chaotic overlapping compositions of eyes and screens, inverted freedom where visibility equals control, fluid morphing between human and data, halftone patterns, bold conspiratorial linework",surveillance capitalism and privacy loss (2025),"privacy rights campaign, dystopian art series, editorial illustration"
AMP-006,Prescription Paradise,Mental Health & Medication,"Pill bottles transforming into surreal landscapes where people live, underground comix psychedelic style, pharmaceutical colors (antidepressant blue, anxiety orange, euphoria pink), 2D comic book illustration, criminally optimistic and rebellious, addressing 2025 mental health medication culture, chaotic composition with pills as building blocks, inverted wellness where medication creates new realities, fluid melting capsules and tablets, swirling patterns, bold satirical linework, truth-revealing about pharmaceutical dependence",mental health crisis and medication culture (2025),"mental health awareness art, pharmaceutical critique, gallery exhibition"
AMP-007,Shopping Cart Nirvana,Consumerism Critique,"Humans morphing into shopping carts in a psychedelic mall wasteland, underground comix style, consumer colors (credit card gold, debt red, brand logo rainbow), 2D rebellious comic book aesthetic, mischievous and truth-revealing, satirizing 2025 consumerism and material worship, chaotic composition with products multiplying fractally, inverted freedom where consumption equals identity, fluid transformation between human and commodity, Ben-Day dots on packaging, bold anti-capitalist linework",consumer culture and materialistic obsession (2025),"anti-consumerism campaign, street art, gallery installation"
AMP-008,Blockchain Fever Dream,Cryptocurrency & Finance,"Digital coins raining down while people drown in abstract financial data, underground comix psychedelic style, speculative colors (bitcoin gold, ethereum purple, crash red, boom green), 2D chaotic comic book illustration, criminally optimistic yet rebellious, commenting on 2025 crypto volatility and NFT market collapse, inverted wealth where virtual becomes more real than real, fluid morphing between money and meaninglessness, hallucinatory patterns of charts and graphs, bold satirical linework, truth-revealing about financial speculation",cryptocurrency volatility and NFT market decline (2025),"financial satire art, crypto critique poster, digital exhibition"
AMP-009,Standardized Test Nightmare,Education System,"Students trapped in bubble sheets morphing into prison bars, underground comix psychedelic aesthetic, institutional colors (test pencil yellow, scantron gray, failure red, forced success blue), 2D rebellious comic book style, mischievous and truth-revealing, satirizing 2025 education system failures and student debt crisis, chaotic composition with textbooks exploding into meaningless symbols, inverted learning where memorization replaces understanding, fluid transformation of knowledge into burden, bold anti-establishment linework, swirling anxiety patterns",education system crisis and student debt (2025),"education reform art, student activism poster, social commentary"
AMP-010,Uber to Nowhere,Labor & Economy,"Workers juggling multiple phone apps while fragmenting into pieces, underground comix psychedelic style, hustle culture colors (burnout orange, side-gig green, exhaustion purple, false-promise gold), 2D chaotic comic book illustration, criminally optimistic yet rebellious, addressing 2025 gig economy precarity and worker exploitation, inverted freedom where flexibility equals insecurity, fluid bodies stretched across multiple jobs simultaneously, motion lines showing frantic energy, Ben-Day dots on app interfaces, bold labor-rights linework, truth-revealing about modern work conditions",gig economy exploitation and worker rights (2025),"labor rights campaign, worker solidarity art, editorial illustration"
